题目1：  29 + 85
题目7886：  87/101 × 15
题目7887：  5/17 - 46/47
题目7888：  88 ÷ 1/6
题目7889：  30 ÷ 15/16
题目7890：  44 ÷ 4
题目7891：  1 - 41
题目7892：  24/31 + 65
题目7893：  2 × 18
题目7894：  11/91 × 93
题目7895：  24 ÷ 4/21
题目7896：  15 + 79
题目7897：  79 - 43
题目7898：  67/98 × 69
题目7899：  78 ÷ 13/15
题目7900：  29/32 - 75/91
题目7901：  23/43 - 48
题目7902：  41/88 × 5
题目7903：  53/101 × 82
题目7904：  74 ÷ 1
题目7905：  75/86 × 32
题目7906：  70/101 + 72
题目7907：  47/48 × 28
题目7908：  33 × 60
题目7909：  87/92 × 50
题目7910：  4/5 + 13/15
题目7911：  27/92 + 35/79
题目7912：  83/97 - 54
题目7913：  39/46 × 98
题目7914：  12/25 × 36
题目7915：  64/83 × 88/91
题目7916：  19 ÷ 19/28
题目7917：  19/68 × 37
题目7918：  72 - 24
题目7919：  43/47 - 87
题目7920：  47 ÷ 47/48
题目7921：  37/87 × 7/13
题目7922：  41/81 × 77
题目7923：  76 - 8/83
题目7924：  3/80 × 5/7
题目7925：  66 ÷ 22/47
题目7926：  14/95 + 36
题目7927：  55/98 × 52
题目7928：  18/23 - 68
题目7929：  5/14 + 17/18
题目7930：  83/89 - 49
题目7931：  2/7 - 92/93
题目7932：  6/7 + 10
题目7933：  7/44 + 77
题目7934：  78 ÷ 1/9
题目7935：  59/78 - 55/72
题目7936：  53 ÷ 1/61
题目7937：  26/29 - 21
题目7938：  3/8 × 78/101
题目7939：  60 + 96
题目7940：  1/2 - 79
题目7941：  45 ÷ 9/13
题目7942：  41/95 × 43/65
题目7943：  69 ÷ 69/71
题目7944：  91 ÷ 1/18
题目7945：  30 ÷ 2/3
题目7946：  13/30 + 37/41
题目7947：  18/41 + 99
题目7948：  21 - 2/3
题目7949：  8/33 × 39/77
题目7950：  55 ÷ 5/18
题目7951：  11 - 20
题目7952：  40/49 - 71
题目7953：  57 - 53/69
题目7954：  18 ÷ 2/9
题目7955：  57/61 × 76
题目7956：  55/72 × 76/87
题目7957：  5 ÷ 1/90
题目7958：  81 - 3/5
题目7959：  18 + 69
题目7960：  23/74 × 44/47
题目7961：  29/66 - 72/89
题目7962：  95 + 100
题目7963：  18/91 + 87
题目7964：  29/63 × 92
题目7965：  90 ÷ 3/7
题目7966：  22 - 54/97
题目7967：  35/94 + 27
题目7968：  1/40 + 90
题目7969：  95/97 - 14/39
题目7970：  23/24 × 60
题目7971：  9/25 + 38/97
题目7972：  56 - 43/44
题目7973：  39/85 - 41/100
题目7974：  6 ÷ 3/16
题目7975：  8/9 × 11/12
题目7976：  77 - 1/2
题目7977：  13/22 + 89
题目7978：  19/26 × 82
题目7979：  83/85 + 11
题目7980：  32/69 × 67/93
题目7981：  99/100 + 63
题目7982：  19/34 × 79
题目7983：  71/89 × 68
题目7984：  73/80 × 68
题目7985：  20 + 55
题目7986：  91/100 × 89
题目7987：  1/48 + 34
题目7988：  3/40 - 44
题目7989：  79 - 53
题目7990：  26/57 + 21
题目7991：  76 ÷ 1
题目7992：  19/23 + 71/75
题目7993：  56/83 - 51
题目7994：  20/21 - 6
题目7995：  72 ÷ 24/25
题目7996：  14 ÷ 2/17
题目7997：  27/32 - 53
题目7998：  73/74 + 74
题目7999：  52 ÷ 26/33
题目8000：  60/97 - 71/95
题目8001：  23/40 - 27
题目8002：  22 - 88/95
题目8003：  40 ÷ 40/41
题目8004：  13/17 - 32
题目8005：  20/31 + 59/86
题目8006：  13/21 + 89/101
题目8007：  8/23 × 45/47
题目8008：  16 - 27/37
题目8009：  78 ÷ 1/27
题目8010：  1 - 11/25
题目8011：  64/99 + 88
题目8012：  6/19 × 31/33
题目8013：  11 + 15
题目8014：  40 - 14
题目8015：  84 ÷ 4/9
题目8016：  42 - 60
题目8017：  26/45 × 67
题目8018：  60 + 78
题目8019：  51 - 27
题目8020：  93 ÷ 1/21
题目8021：  30/37 × 30
题目8022：  96/101 × 51
题目8023：  38 ÷ 19/61
题目8024：  73/96 + 91/94
题目8025：  10/19 × 80/81
题目8026：  25/84 + 94
题目8027：  67/74 + 52
题目8028：  68 ÷ 2/69
题目8029：  11/76 + 32
题目8030：  70/79 - 40
题目8031：  52 ÷ 1
题目8032：  85/98 + 59
题目8033：  2 - 7/50
题目8034：  3 × 65
题目8035：  79/89 × 96
题目8036：  60/71 × 18
题目8037：  11/14 × 86
题目8038：  13/95 - 3/20
题目8039：  63 - 66
题目8040：  7/15 + 95/101
题目8041：  59/63 - 10/67
题目8042：  68 ÷ 4/5
题目8043：  2/3 × 31/32
题目8044：  100 ÷ 50/67
题目8045：  66 ÷ 33/40
题目8046：  7/18 - 78
题目8047：  62/73 - 57
题目8048：  1 × 34
题目8049：  16/81 - 55
题目8050：  60/91 - 98
题目8051：  40/49 × 95/96
题目8052：  100/101 + 44
题目8053：  17/20 × 26
题目8054：  75 - 85/88
题目8055：  29/30 × 78/79
题目8056：  35 + 69
题目8057：  8 - 7
题目8058：  11/20 × 81/83
题目8059：  39/94 - 21/29
题目8060：  54 ÷ 3/7
题目8061：  19/20 × 86
题目8062：  5 + 11
题目8063：  28/29 - 24
题目8064：  6/17 + 85
题目8065：  68 - 28/31
题目8066：  28 - 34/41
题目8067：  16/47 × 23/58
题目8068：  72 ÷ 9/14
题目8069：  91/92 + 52
题目8070：  1/13 + 44
题目8071：  14 ÷ 7/97
题目8072：  40 ÷ 5
题目8073：  48 - 28/69
题目8074：  60 ÷ 5/8
题目8075：  56 ÷ 4/79
题目8076：  91/99 × 10
题目8077：  53 ÷ 53
题目8078：  13 × 17
题目8079：  11/25 × 80
题目8080：  29 × 41
题目8081：  16/23 + 48
题目8082：  3 - 56
题目8083：  63 + 93
题目8084：  39/95 + 32
题目8085：  65/73 + 23/25
题目8086：  61 ÷ 61/88
题目8087：  25 × 43
题目8088：  96 - 29/33
题目8089：  31/39 + 65
题目8090：  15/22 × 23/33
题目8091：  47/89 - 51
题目8092：  75 - 13/20
题目8093：  68 - 83/92
题目8094：  9/29 + 40/41
题目8095：  29/75 × 17/18
题目8096：  61/92 - 7/47
题目8097：  1/3 + 71
题目8098：  8 ÷ 1/59
题目8099：  46 - 1/101
题目8100：  1/19 + 25/43
题目8101：  24 × 85
题目8102：  96/101 + 1
题目8103：  21 + 46
题目8104：  81 - 46
题目8105：  61/62 + 45
题目8106：  17/62 + 45
题目8107：  26 ÷ 1
题目8108：  32 ÷ 16/25
题目8109：  5/8 × 81/92
题目8110：  5/63 + 16/49
题目8111：  15/77 + 50
题目8112：  75 - 28
题目8113：  5/6 + 93/94
题目8114：  20/27 × 18
题目8115：  5/36 + 17
题目8116：  33/50 × 3
题目8117：  95 - 29/88
题目8118：  41 - 25
题目8119：  58 - 49
题目8120：  83/98 × 28
题目8121：  48 ÷ 4
题目8122：  95 ÷ 1/16
题目8123：  4/11 × 12/13
题目8124：  63/71 + 77
题目8125：  39/100 × 11/24
题目8126：  23 ÷ 23/33
题目8127：  18 ÷ 2/61
题目8128：  78/89 + 57
题目8129：  35/36 - 92/101
题目8130：  7/64 + 7
题目8131：  10/21 + 95
题目8132：  21/100 × 28
题目8133：  1/4 - 5/24
题目8134：  32 × 92
题目8135：  34 × 91
题目8136：  10 ÷ 2/11
题目8137：  57/88 - 61/96
题目8138：  33 × 93
题目8139：  27/100 + 74
题目8140：  4/5 + 4
题目8141：  75 ÷ 5/66
题目8142：  57 × 76
题目8143：  61/88 + 23
题目8144：  40 + 58
题目8145：  4 × 53
题目8146：  39/59 × 24
题目8147：  97/101 + 54
题目8148：  88 ÷ 1
题目8149：  56 - 7/11
题目8150：  1/30 + 23
题目8151：  65 ÷ 5/8
题目8152：  51/97 + 58/63
题目8153：  7 ÷ 1/2
题目8154：  80/83 + 89
题目8155：  15/101 + 84
题目8156：  71/98 + 86
题目8157：  32/33 × 72
题目8158：  88 ÷ 11/29
题目8159：  87/100 - 41/44
题目8160：  3 ÷ 3/92
题目8161：  58/93 × 63/94
题目8162：  17/52 × 21
题目8163：  27/97 - 20/73
题目8164：  1 - 22
题目8165：  13 × 38
题目8166：  35 + 39
题目8167：  20/41 - 6/13
题目8168：  15/92 - 5/57
题目8169：  90/97 × 37
题目8170：  29/57 × 51/67
题目8171：  96 - 71
题目8172：  92/93 - 78/101
题目8173：  7 - 62
题目8174：  91/95 - 1/4
题目8175：  72/77 + 65
题目8176：  12 ÷ 3/31
题目8177：  71/75 + 55
题目8178：  20/21 + 79
题目8179：  9/37 + 49
题目8180：  1/9 + 86/97
题目8181：  27/49 + 90
题目8182：  50/59 × 2
题目8183：  47/81 - 11
题目8184：  20 - 94/99
题目8185：  19/60 - 22/31
题目8186：  17 - 27
题目8187：  10/59 + 11/54
题目8188：  25/27 - 43
题目8189：  7/10 × 82/95
题目8190：  11/19 × 86/89
题目8191：  57 ÷ 19/44
题目8192：  17/45 + 9
题目8193：  37/58 × 74
题目8194：  93 ÷ 1/17
题目8195：  7/11 × 43
题目8196：  42 ÷ 1/37
题目8197：  46/65 × 67/84
题目8198：  1/2 × 49/50
题目8199：  43/72 + 67/71
题目8200：  1/2 + 6
题目8201：  16 × 91
题目8202：  41/48 + 76
题目8203：  1 × 88
题目8204：  45/62 + 46/63
题目8205：  93/100 × 50
题目8206：  3/59 × 97
题目8207：  17/66 × 29/32
题目8208：  44/69 × 26
题目8209：  3 + 53
题目8210：  20 × 92
题目8211：  26/73 - 18/23
题目8212：  4/21 × 15
题目8213：  26/45 - 72
题目8214：  2/59 + 24
题目8215：  10/83 + 88
题目8216：  74 ÷ 1/70
题目8217：  42/47 + 49
题目8218：  17/96 - 95/101
题目8219：  20 - 13/16
题目8220：  15 ÷ 3/44
题目8221：  7/17 × 59/66
题目8222：  17/20 - 1
题目8223：  18 + 66
题目8224：  46/47 × 67
题目8225：  91 ÷ 7/12
题目8226：  4 - 20
题目8227：  28/87 × 76/97
题目8228：  83 - 13/72
题目8229：  25/33 × 39
题目8230：  74 × 99
题目8231：  35/101 + 56
题目8232：  89/95 + 28
题目8233：  48/49 × 93
题目8234：  49/50 × 40
题目8235：  11/100 × 5/8
题目8236：  13/74 - 6/11
题目8237：  1/5 - 23
题目8238：  100 ÷ 1/9
题目8239：  9 × 62
题目8240：  3/11 + 34
题目8241：  93/98 - 97/101
题目8242：  25/51 × 30/31
题目8243：  34 - 76
题目8244：  17/37 × 63
题目8245：  22/25 + 92
题目8246：  76 - 11/16
题目8247：  81 ÷ 9/25
题目8248：  5/32 + 13/19
题目8249：  5/8 + 51/52
题目8250：  20 ÷ 10/11
题目8251：  25 + 100
题目8252：  67/87 - 5/64
题目8253：  45 ÷ 3/34
题目8254：  9/11 + 39/44
题目8255：  64 + 77
题目8256：  97/99 × 31
题目8257：  6/49 - 83/84
题目8258：  3/7 - 68
题目8259：  34/95 - 87/89
题目8260：  5/8 + 89/96
题目8261：  26/45 × 58/77
题目8262：  27/46 + 11/13
题目8263：  46/53 - 86/87
题目8264：  4/5 - 26/95
题目8265：  64 - 35/47
题目8266：  27/47 × 36
题目8267：  10 × 39
题目8268：  2/33 + 56
题目8269：  16 - 6
题目8270：  97/101 - 64/67
题目8271：  75 + 83
题目8272：  42 ÷ 1/51
题目8273：  15 - 67/68
题目8274：  69/79 + 65
题目8275：  9 + 57
题目8276：  36 + 44
题目8277：  43 + 51
题目8278：  30/43 + 94/101
题目8279：  17/30 - 97
题目8280：  3/4 - 99
题目8281：  70 - 87
题目8282：  80 - 13
题目8283：  54 ÷ 6/7
题目8284：  76 + 78
题目8285：  73 - 89/90
题目8286：  27 ÷ 1/12
题目8287：  73/87 + 42
题目8288：  5/18 + 31/100
题目8289：  5/31 + 57/61
题目8290：  54 - 34
题目8291：  79/88 + 74
题目8292：  58/97 × 99/101
题目8293：  43 ÷ 1/22
题目8294：  27/28 - 7
题目8295：  64/99 + 28
题目8296：  31/77 + 100/101
题目8297：  9/10 + 52
题目8298：  23/31 - 8
题目8299：  41/49 × 22
题目8300：  27/31 - 1/3
题目8301：  21/29 - 54
题目8302：  29/77 × 59
题目8303：  14 - 35/53
题目8304：  8/37 × 93
题目8305：  10 + 34
题目8306：  4/25 + 49/79
题目8307：  29 - 71
题目8308：  75 ÷ 3/10
题目8309：  52 ÷ 1/15
题目8310：  93 - 21/46
题目8311：  100 ÷ 5/84
题目8312：  67/75 - 88
题目8313：  80 ÷ 5/9
题目8314：  4/11 × 82
题目8315：  6/11 + 37
题目8316：  93/94 + 20
题目8317：  81/94 + 49/52
题目8318：  81 - 92/101
题目8319：  13/23 × 20
题目8320：  33 - 8/29
题目8321：  42/47 - 73/92
题目8322：  75/98 × 32/33
题目8323：  1/66 - 14
题目8324：  17/18 + 93
题目8325：  68/81 × 84/95
题目8326：  9 + 44
题目8327：  72 ÷ 1/82
题目8328：  100/101 × 29
题目8329：  10/53 + 20/33
题目8330：  76 ÷ 1/41
题目8331：  42 × 80
题目8332：  39/49 × 21/22
题目8333：  5/11 × 99
题目8334：  11/20 + 63/95
题目8335：  72 ÷ 4/57
题目8336：  82 ÷ 1/61
题目8337：  67/90 × 63
题目8338：  40/53 × 4/5
题目8339：  24/47 + 47
题目8340：  21 + 49
题目8341：  46/49 + 20
题目8342：  95/96 - 89
题目8343：  14 - 50/83
题目8344：  32 - 73/74
题目8345：  22 ÷ 11/18
题目8346：  50/83 + 18
题目8347：  10 ÷ 5/8
题目8348：  41/57 - 6/91
题目8349：  59 - 93/95
题目8350：  5/49 - 72
题目8351：  3/19 + 10/49
题目8352：  79/82 × 99
题目8353：  53/61 × 49
题目8354：  12 - 32/67
题目8355：  8/11 - 31/34
题目8356：  19 - 38
题目8357：  27 ÷ 3/47
题目8358：  19/22 + 18
题目8359：  7/57 × 30
题目8360：  4/35 + 29/51
题目8361：  70/93 + 93/100
题目8362：  49/101 × 21/22
题目8363：  16/81 ÷ 16/81
题目8364：  48 ÷ 12/13
题目8365：  40 ÷ 1/17
题目8366：  16 ÷ 1/4
题目8367：  98/101 + 81
题目8368：  46 + 95
题目8369：  16 ÷ 1/42
题目8370：  42 - 1/68
题目8371：  42 × 92
题目8372：  32/33 + 91
题目8373：  41 - 15/16
题目8374：  35/47 + 25/26
题目8375：  33/47 + 7
题目8376：  84 ÷ 42/43
题目8377：  65 - 65
题目8378：  73/91 - 87/92
题目8379：  62/77 + 2
题目8380：  9 ÷ 1/83
题目8381：  38/41 + 79
题目8382：  3 + 97
题目8383：  69/101 + 95/98
题目8384：  5/11 × 36
题目8385：  94 - 27
题目8386：  41/93 + 46
题目8387：  1/2 + 9/14
题目8388：  70 × 91
题目8389：  82 ÷ 41/49
题目8390：  41/95 + 84
题目8391：  54 ÷ 9/17
题目8392：  49/75 × 80
题目8393：  34/43 - 59/86
题目8394：  45/46 × 38
题目8395：  11/19 + 54/77
题目8396：  35/43 + 17/18
题目8397：  47/97 × 9/10
题目8398：  1/22 × 1/3
题目8399：  19/21 - 6/7
题目8400：  40 ÷ 20/97
题目8401：  52 ÷ 13/16
题目8402：  38 ÷ 19/35
题目8403：  73/94 × 15
题目8404：  99 - 2/3
题目8405：  87 ÷ 3/92
题目8406：  49/78 + 24/25
题目8407：  2/17 - 99
题目8408：  9/10 + 91
题目8409：  55/82 - 94
题目8410：  77/96 - 40/41
题目8411：  82 ÷ 1/16
题目8412：  15/46 × 37
题目8413：  11/27 × 82/97
题目8414：  12 × 28
题目8415：  40 ÷ 1/16
题目8416：  6/19 × 74
题目8417：  71/89 × 28
题目8418：  64/83 × 82
题目8419：  10 × 80
题目8420：  43/50 × 84/85
题目8421：  7 ÷ 7/71
题目8422：  27 + 85
题目8423：  21/55 × 28/65
题目8424：  83/89 - 21
题目8425：  81 ÷ 3/5
题目8426：  6/97 + 41
题目8427：  87/97 - 12
题目8428：  50/67 - 7
题目8429：  34/37 + 12
题目8430：  12 ÷ 4/5
题目8431：  31/40 - 83/93
题目8432：  7/18 × 25/47
题目8433：  2 + 42
题目8434：  6 - 35
题目8435：  8/37 × 61/101
题目8436：  38/39 - 3/5
题目8437：  13/61 + 62/99
题目8438：  3/4 × 20
题目8439：  46/59 - 22
题目8440：  30/37 × 1
题目8441：  47 + 51
题目8442：  13 × 40
题目8443：  43 × 70
题目8444：  100/101 - 26/97
题目8445：  85/96 × 90
题目8446：  4 ÷ 4/11
题目8447：  9/62 + 32
题目8448：  40 - 13
题目8449：  65 - 31/48
题目8450：  25/41 × 60
题目8451：  71 - 77/94
题目8452：  19/60 ÷ 1/60
题目8453：  40 × 89
题目8454：  15/28 × 9/10
题目8455：  94 - 19/92
题目8456：  88/93 × 100/101
题目8457：  35 × 62
题目8458：  63 × 86
题目8459：  19/35 + 39
题目8460：  36/47 × 92/101
题目8461：  78 - 67/87
题目8462：  25 - 72/73
题目8463：  9/13 + 79/90
题目8464：  35 ÷ 35
题目8465：  28/93 × 30
题目8466：  33/38 × 65
题目8467：  85 ÷ 5/9
题目8468：  8/17 - 8/9
题目8469：  29/88 + 4/7
题目8470：  83/87 - 8/69
题目8471：  1/13 × 26/31
题目8472：  35 - 41
题目8473：  59/76 + 46
题目8474：  69/76 + 80
题目8475：  68/97 × 19/24
题目8476：  38 × 79
题目8477：  4 ÷ 1/30
题目8478：  92/97 + 40
题目8479：  47/49 - 96
题目8480：  11/47 + 83/92
题目8481：  9/25 × 15/23
题目8482：  34/89 × 87
题目8483：  1/2 × 91
题目8484：  54 × 61
题目8485：  72 ÷ 2/9
题目8486：  29/95 + 29/32
题目8487：  60/77 × 32
题目8488：  37 - 82
题目8489：  6/17 + 78/89
题目8490：  17/101 × 31
题目8491：  20/27 + 94
题目8492：  48 ÷ 24/59
题目8493：  31/42 - 27/32
题目8494：  4 - 79
题目8495：  24 × 72
题目8496：  5/12 + 55
题目8497：  72 - 38/91
题目8498：  67/99 + 95
题目8499：  90 ÷ 1/31
题目8500：  23/25 + 31/33
题目8501：  62/87 + 78/95
题目8502：  1 + 81
题目8503：  85/91 + 31
题目8504：  4/5 + 35
题目8505：  77/100 + 75/83
题目8506：  87/97 + 22/23
题目8507：  62 + 63
题目8508：  26/29 × 5
题目8509：  57/94 × 67/85
题目8510：  25/63 × 15
题目8511：  38/77 × 89/99
题目8512：  36 ÷ 12/13
题目8513：  49/79 + 7/8
题目8514：  87 + 93
题目8515：  98/101 × 32
题目8516：  75 ÷ 5/92
题目8517：  29/98 + 23
题目8518：  55 ÷ 5/9
题目8519：  2/11 × 11/12
题目8520：  50 + 51
题目8521：  7 - 1/11
题目8522：  77 ÷ 7/10
题目8523：  45/47 × 93
题目8524：  81/100 + 96
题目8525：  67/85 + 11/13
题目8526：  100 ÷ 25/74
题目8527：  47/48 - 24
题目8528：  35/88 × 87/91
题目8529：  34 ÷ 2/11
题目8530：  78 ÷ 2
题目8531：  3/4 - 11/23
题目8532：  5 + 14
题目8533：  89/90 × 12
题目8534：  3 × 96
题目8535：  15/92 × 60
题目8536：  97/100 ÷ 97/100
题目8537：  1/46 × 43
题目8538：  20/87 + 87/98
题目8539：  39 × 60
题目8540：  38/99 + 52
题目8541：  93 ÷ 1/9
题目8542：  29/31 × 38
题目8543：  12 + 46
题目8544：  30/47 + 36
题目8545：  36/37 × 14
题目8546：  52/87 - 16/21
题目8547：  71 - 98
题目8548：  81 × 92
题目8549：  31 + 73
题目8550：  39 - 59
题目8551：  19/25 + 76
题目8552：  34/63 - 49/50
题目8553：  43/60 × 85/99
题目8554：  8/83 + 53/55
题目8555：  1/2 - 53
题目8556：  60 ÷ 6/25
题目8557：  46 - 48
题目8558：  31 + 99
题目8559：  52 ÷ 1/32
题目8560：  85/91 × 91
题目8561：  72 ÷ 2/7
题目8562：  26 + 60
题目8563：  20 + 85
题目8564：  20/31 - 76
题目8565：  82/97 + 79/85
题目8566：  66 ÷ 2/33
题目8567：  83/101 × 97/101
题目8568：  53 - 98/101
题目8569：  56/59 × 17
题目8570：  92/99 - 1/41
题目8571：  7 + 44
题目8572：  30 ÷ 15/17
题目8573：  19 × 89
题目8574：  21/34 - 9/26
题目8575：  47/101 × 35
题目8576：  31 ÷ 31/33
题目8577：  12 × 64
题目8578：  14/15 × 81
题目8579：  28/43 + 39/50
题目8580：  33 ÷ 1/68
题目8581：  31/41 × 80
题目8582：  85 + 97
题目8583：  11/51 × 34/47
题目8584：  7/9 - 55
题目8585：  67/71 × 33
题目8586：  45 × 99
题目8587：  33/91 × 42
题目8588：  17/96 × 48
题目8589：  9 + 89
题目8590：  2/5 × 18/19
题目8591：  51/71 + 93/98
题目8592：  10/33 - 18
题目8593：  90 ÷ 9/11
题目8594：  6 ÷ 1/5
题目8595：  18 - 99/100
题目8596：  10 × 36
题目8597：  67/77 - 65/97
题目8598：  77 - 5/11
题目8599：  47/67 × 75
题目8600：  43 + 92
题目8601：  2/15 - 33
题目8602：  34/93 × 18
题目8603：  18 - 19/20
题目8604：  51 ÷ 1/91
题目8605：  14 - 32/43
题目8606：  91 - 65
题目8607：  5/29 × 6
题目8608：  71 + 90
题目8609：  40 ÷ 2/53
题目8610：  3/46 + 51/97
题目8611：  79/80 × 43
题目8612：  8 + 20
题目8613：  100/101 + 96
题目8614：  1/2 + 76/89
题目8615：  19/35 × 61
题目8616：  70 - 39/44
题目8617：  13/46 + 90
题目8618：  65 - 56
题目8619：  37/39 - 35/99
题目8620：  25/31 + 28
题目8621：  72 ÷ 12/65
题目8622：  42 - 7
题目8623：  99 ÷ 1/52
题目8624：  9/11 - 65
题目8625：  1/38 × 52/69
题目8626：  16 ÷ 1/10
题目8627：  19/28 × 77
题目8628：  25 × 38
题目8629：  27/31 - 95
题目8630：  24 - 37/101
题目8631：  48 ÷ 16/73
题目8632：  49 - 4/13
题目8633：  57/59 + 100/101
题目8634：  49 ÷ 1/17
题目8635：  79/84 + 26
题目8636：  2 + 43
题目8637：  2 + 71
题目8638：  38 ÷ 2
题目8639：  62/79 - 7/10
题目8640：  44/45 - 42
题目8641：  73/87 + 81
题目8642：  7 × 24
题目8643：  2/35 + 76
题目8644：  39/71 + 60
题目8645：  15 - 2/7
题目8646：  6/7 - 25
题目8647：  61/89 × 85/97
题目8648：  90 ÷ 1/41
题目8649：  51 ÷ 3/10
题目8650：  18 ÷ 2/25
题目8651：  19/20 - 99/101
题目8652：  71/98 - 79
题目8653：  14 ÷ 2/5
题目8654：  17/38 - 1/2
题目8655：  71/101 × 16
题目8656：  54 - 29
题目8657：  47/62 - 49/50
题目8658：  73/94 × 42
题目8659：  21 ÷ 1/10
题目8660：  8 + 32
题目8661：  44/91 + 52
题目8662：  4/15 × 5
题目8663：  61 - 83
题目8664：  29/30 × 97
题目8665：  42 - 47
题目8666：  29 + 81
题目8667：  9/89 × 82/101
题目8668：  20 × 70
题目8669：  4/11 + 15/28
题目8670：  10/21 × 67
题目8671：  2/5 + 13/14
题目8672：  67 - 9
题目8673：  67 ÷ 67/81
题目8674：  4/7 - 55
题目8675：  12 + 90
题目8676：  39/47 - 69
题目8677：  7/29 + 1/3
题目8678：  9/13 + 19/20
题目8679：  8/15 × 71/72
题目8680：  29/101 - 4/99
题目8681：  49/95 × 23/38
题目8682：  6/91 + 54
题目8683：  54 ÷ 9/47
题目8684：  98 ÷ 1/7
题目8685：  100/101 × 27
题目8686：  32 × 41
题目8687：  42 - 77
题目8688：  58 ÷ 29/72
题目8689：  33/43 - 88
题目8690：  26 + 26
题目8691：  13 × 76
题目8692：  85 + 95
题目8693：  57/65 + 47
题目8694：  41/68 + 47
题目8695：  21/74 + 67
题目8696：  64/81 - 7/11
题目8697：  64 ÷ 8/63
题目8698：  15 ÷ 15/19
题目8699：  73/96 - 34/45
题目8700：  87 ÷ 1/12
题目8701：  85 ÷ 5/19
题目8702：  10 - 40/47
题目8703：  3/8 + 8/17
题目8704：  41/49 - 15/19
题目8705：  83 × 100
题目8706：  28 ÷ 1/8
题目8707：  37/48 + 18
题目8708：  64/89 + 59
题目8709：  1/28 × 8/9
题目8710：  34/45 × 82
题目8711：  44 - 65
题目8712：  60 ÷ 5/14
题目8713：  25/31 × 65
题目8714：  36/49 × 49
题目8715：  95 ÷ 19/25
题目8716：  13/46 + 41
题目8717：  32/47 - 73/93
题目8718：  15 - 57
题目8719：  19/49 - 23
题目8720：  49/85 × 95
题目8721：  19/23 + 91/97
题目8722：  19/41 × 89/92
题目8723：  28 + 51
题目8724：  22 × 49
题目8725：  72 ÷ 8/33
题目8726：  33/82 - 78
题目8727：  84 ÷ 1/4
题目8728：  23/100 × 91/101
题目8729：  98 ÷ 14/89
题目8730：  13/24 - 39/85
题目8731：  87 ÷ 3/38
题目8732：  2/35 + 73
题目8733：  37 × 43
题目8734：  11/49 - 37/50
题目8735：  52/85 × 95/99
题目8736：  20/63 + 53/92
题目8737：  23/93 + 91
题目8738：  91/100 + 39
题目8739：  34/47 + 94
题目8740：  5/94 × 4
题目8741：  4 × 80
题目8742：  72 + 74
题目8743：  9/16 + 31/42
题目8744：  5/8 + 47/48
题目8745：  75/98 × 62
题目8746：  34 × 90
题目8747：  2/65 - 41
题目8748：  54 ÷ 1/8
题目8749：  60 ÷ 5/7
题目8750：  6 × 27
题目8751：  7 - 19/32
题目8752：  52/73 × 72
题目8753：  23/50 + 27
题目8754：  48 ÷ 2/43
题目8755：  30/31 + 25
题目8756：  93 - 95/96
题目8757：  50/99 + 47/49
题目8758：  20 - 89/98
题目8759：  13/27 × 82
题目8760：  32 × 68
题目8761：  36/59 + 13/18
题目8762：  32 + 34
题目8763：  53/75 × 93
题目8764：  39 - 22
题目8765：  33/95 × 32/33
题目8766：  1/32 - 32
题目8767：  90 - 70
题目8768：  27/28 × 3
题目8769：  3/11 × 17/23
题目8770：  11/12 - 64
题目8771：  20 ÷ 10/101
题目8772：  90 ÷ 45/47
题目8773：  15/17 × 79
题目8774：  15/43 × 28
题目8775：  41 ÷ 41/76
题目8776：  7 × 34
题目8777：  11/96 + 60/83
题目8778：  2/5 - 81
题目8779：  65/84 - 1/2
题目8780：  58 ÷ 29/40
题目8781：  45 ÷ 45/47
题目8782：  3 + 96
题目8783：  48 × 97
题目8784：  89 - 68/79
题目8785：  100 - 69
题目8786：  66 - 33
题目8787：  84 ÷ 42
题目8788：  8 ÷ 8/15
题目8789：  36 ÷ 3/7
题目8790：  60 × 65
题目8791：  55/64 × 61
题目8792：  13 ÷ 1/2
题目8793：  5/11 - 91/99
题目8794：  5/9 + 95
题目8795：  66/97 + 86/89
题目8796：  6 - 47/81
题目8797：  19/87 × 27/38
题目8798：  95/101 × 72/73
题目8799：  61/96 + 88
题目8800：  16 - 19/101
题目8801：  3 + 28
题目8802：  8/25 × 21
题目8803：  59/78 × 88
题目8804：  7/8 × 39
题目8805：  13/43 - 21
题目8806：  40/47 + 100
题目8807：  85/101 + 9/10
题目8808：  68 - 61
题目8809：  7 × 81
题目8810：  64 - 12/41
题目8811：  92/93 - 100
题目8812：  57/82 + 65
题目8813：  19/33 + 45/46
题目8814：  3/20 × 89/100
题目8815：  29/53 × 20
题目8816：  78/83 × 84
题目8817：  24/31 + 35
题目8818：  47 - 8/25
题目8819：  74/83 + 49
题目8820：  1/2 × 65/72
题目8821：  47 - 68
题目8822：  32 - 27/40
题目8823：  38 - 93/101
题目8824：  31/33 + 27
题目8825：  3/101 - 1/3
题目8826：  45 ÷ 15/38
题目8827：  47 - 43/90
题目8828：  61/98 + 60
题目8829：  1/8 × 61/93
题目8830：  23/52 × 97
题目8831：  36/43 × 95
题目8832：  22/27 × 83
题目8833：  2/3 - 66
题目8834：  28 + 77
题目8835：  25/49 + 95
题目8836：  61/79 × 100
题目8837：  50 ÷ 1/48
题目8838：  96 - 43/67
题目8839：  24/83 × 75/82
题目8840：  3 ÷ 1/8
题目8841：  3/16 - 68
